Date,NVDA,V,LLY,META,TJX,COST,ADP,JNJ
2014-02-27,0.4381142258644104,52.270755767822266,47.88455581665039,68.56385803222656,26.012617111206055,93.12283325195312,53.06390380859375,66.82798767089844
2014-02-28,0.4352724552154541,52.192203521728516,47.94085693359375,68.08645629882812,26.325298309326172,93.58753204345703,53.1048698425293,67.3839111328125
2014-03-03,0.4331410229206085,51.15270233154297,47.47439956665039,67.04219818115234,26.081148147583008,92.7462387084961,52.347007751464844,66.9742660522461
2014-03-04,0.43764054775238037,52.0905647277832,48.13386535644531,68.42461395263672,26.359567642211914,93.46739959716797,53.56231689453125,68.27629852294922
2014-03-05,0.4414297044277191,51.469181060791016,47.79609680175781,71.17950439453125,26.440942764282227,93.32315826416016,53.06390380859375,67.7276840209961
2014-03-06,0.4352724552154541,51.71174240112305,47.22509002685547,70.45347595214844,26.183948516845703,90.7510986328125,53.27553939819336,67.94713592529297
2014-03-07,0.4347987473011017,52.10443115234375,47.12054443359375,69.41915893554688,26.432382583618164,90.94339752197266,53.63740921020508,68.26168060302734
2014-03-10,0.42840462923049927,52.0905647277832,47.36985397338867,71.63699340820312,26.655115127563477,91.8167724609375,53.3984489440918,68.35675811767578
2014-03-11,0.43266746401786804,52.47865676879883,46.99184036254883,69.71752166748047,26.488067626953125,91.91292572021484,53.18679428100586,68.38601684570312
2014-03-12,0.433851420879364,52.22917938232422,47.611122131347656,70.49327087402344,26.346712112426758,92.31352996826172,53.37228775024414,68.46649932861328
2014-03-13,0.42011600732803345,51.0002555847168,46.919471740722656,68.45446014404297,26.153966903686523,91.67256164550781,52.89140319824219,68.0276107788086
2014-03-14,0.4220105707645416,50.9979362487793,47.3457145690918,67.35050201416016,26.278182983398438,90.9033203125,53.276123046875,67.88861846923828
2014-03-17,0.4220105707645416,51.69326400756836,47.3457145690918,68.36494445800781,26.578014373779297,90.91134643554688,53.92188262939453,68.70787048339844
2014-03-18,0.431956946849823,52.30078887939453,47.771976470947266,68.81249237060547,26.042600631713867,91.22384643554688,54.26537322998047,68.71519470214844
2014-03-19,0.4395351707935333,51.702491760253906,47.490478515625,67.86767578125,25.918378829956055,90.4225845336914,53.78448486328125,68.45916748046875
2014-03-20,0.43977200984954834,51.240501403808594,47.10445022583008,66.6045913696289,25.995479583740234,90.67095947265625,53.81882858276367,68.84686279296875
2014-03-21,0.4390614330768585,51.59854507446289,46.469085693359375,66.87312316894531,26.449514389038086,91.20781707763672,53.41351318359375,70.17082977294922
2014-03-24,0.4369301199913025,50.993309020996094,46.163482666015625,63.75025939941406,25.94407844543457,90.83924102783203,52.52042007446289,69.63687133789062
2014-03-25,0.4369301199913025,50.450469970703125,46.01068115234375,64.53594970703125,25.72563934326172,91.28791809082031,52.678428649902344,71.23148345947266
2014-03-26,0.4269838035106659,49.82215881347656,46.227821350097656,60.06050491333008,25.55430030822754,90.13410186767578,52.34866714477539,70.9901123046875
2014-03-27,0.4213000237941742,49.84294128417969,46.26803207397461,60.6373405456543,25.442941665649414,89.76554107666016,52.67155456542969,71.15834045410156
2014-03-28,0.4239051342010498,48.992855072021484,46.33237075805664,59.68257522583008,25.742761611938477,89.46908569335938,52.86392593383789,71.27537536621094
2014-03-31,0.4241420030593872,49.863731384277344,47.337684631347656,59.91132354736328,25.97835350036621,89.485107421875,53.0768928527832,71.85326385498047
2014-04-01,0.44166651368141174,49.59577941894531,47.30550003051758,62.27833938598633,26.209644317626953,89.62931823730469,53.24175262451172,71.64112854003906
2014-04-02,0.4388246238231659,49.586524963378906,47.5709114074707,62.3777961730957,26.62512969970703,89.38094329833984,53.358543395996094,71.85326385498047
2014-04-03,0.4435611069202423,49.667381286621094,47.4261360168457,59.16542053222656,26.363849639892578,89.50111389160156,53.1524543762207,71.87517547607422
2014-04-04,0.4298255741596222,47.978763580322266,47.45831298828125,56.44036102294922,26.205368041992188,88.6598129272461,52.087608337402344,71.99221801757812
2014-04-07,0.4312465488910675,46.98777389526367,47.144649505615234,56.6392707824707,25.64852523803711,88.77197265625,51.70976638793945,71.60454559326172
2014-04-08,0.4466397762298584,46.79834747314453,47.112483978271484,57.87250518798828,25.892688751220703,90.2703628540039,51.90901184082031,71.72889709472656
2014-04-09,0.4461660385131836,47.94180679321289,48.60032653808594,62.069480895996094,25.807016372680664,90.58282470703125,52.12883758544922,72.37992858886719
2014-04-10,0.4352724552154541,46.55812072753906,47.17683792114258,58.83721160888672,25.220195770263672,89.80558776855469,51.67543029785156,70.61705017089844
2014-04-11,0.42911508679389954,45.42158889770508,47.0079460144043,58.21065139770508,24.77045249938965,89.80558776855469,50.65180206298828,70.85841369628906
2014-04-14,0.433851420879364,46.43336868286133,47.41005325317383,58.568687438964844,24.96748924255371,90.19020080566406,51.00217056274414,71.05591583251953
2014-04-15,0.4369301199913025,47.13560485839844,47.78805160522461,58.76759719848633,25.134538650512695,89.78958129882812,51.57925033569336,72.56278991699219
2014-04-16,0.43787744641304016,48.362220764160156,48.22233200073242,59.394161224365234,25.284448623657227,90.93535614013672,51.81968688964844,72.23361206054688
2014-04-17,0.4395351707935333,48.0365104675293,48.60032653808594,58.618408203125,25.14310073852539,90.94339752197266,52.42424774169922,72.38720703125
2014-04-21,0.44308745861053467,48.309104919433594,48.946163177490234,60.90586853027344,25.438650131225586,91.42415618896484,52.25251388549805,73.14794921875
2014-04-22,0.4468764662742615,48.50313949584961,48.278648376464844,62.68609619140625,25.571430206298828,90.99147033691406,52.4379768371582,73.27961730957031
2014-04-23,0.45208653807640076,48.23748779296875,47.90065002441406,61.02521514892578,25.20734977722168,91.97702026367188,52.4105110168457,73.30887603759766
2014-04-24,0.4561123847961426,48.37145233154297,47.19290542602539,60.53788375854492,24.950349807739258,92.1693344116211,52.6371955871582,73.11869812011719
2014-04-25,0.4435611069202423,45.952884674072266,47.048152923583984,57.39512634277344,24.903226852416992,92.15328979492188,51.977691650390625,72.9943618774414
2014-04-28,0.44166651368141174,46.528079986572266,47.4261360168457,55.83369445800781,25.074567794799805,92.61803436279297,51.99143600463867,74.1281509399414
2014-04-29,0.442613810300827,46.81682586669922,47.948890686035156,57.832733154296875,25.03601837158203,92.46581268310547,52.89140319824219,73.9013900756836
2014-04-30,0.4374037981033325,46.80297088623047,47.53070068359375,59.453826904296875,24.92037582397461,92.69013977050781,53.557777404785156,74.09156036376953
2014-05-01,0.43977200984954834,47.60684585571289,47.86846923828125,60.81635665893555,24.95463752746582,92.59398651123047,53.324195861816406,73.53563690185547
2014-05-02,0.43645650148391724,47.22107696533203,47.51462173461914,60.130123138427734,25.006032943725586,92.26547241210938,53.26924133300781,72.64323425292969
2014-05-05,0.44119295477867126,47.84709930419922,47.353763580322266,60.88597869873047,24.8861026763916,91.73664093017578,53.49595260620117,73.14794921875
2014-05-06,0.4321937561035156,47.438228607177734,47.096412658691406,58.21065139770508,24.42778968811035,90.40654754638672,52.939483642578125,72.78952026367188
2014-05-07,0.43266746401786804,48.20976257324219,47.5709114074707,57.07686996459961,24.5048885345459,89.7254867553711,53.21427917480469,73.81362915039062
2014-05-08,0.4381142258644104,48.717952728271484,47.8524055480957,56.4503059387207,24.766172409057617,91.92896270751953,53.48219299316406,73.51371002197266
